class 名稱,分類,樣式（全部值）,使用範例
mr-2,定位,margin-right:calc(var(--spacing)*2),"class=""mr-2"""
mr-3,定位,margin-right:calc(var(--spacing)*3),"class=""mr-3"""
mr-6,定位,margin-right:calc(var(--spacing)*6),"class=""mr-6"""
mr-auto,定位,margin-right:auto,"class=""mr-auto"""
mt-0,定位,margin-top:calc(var(--spacing)*0),"class=""mt-0"""
mt-1,定位,margin-top:calc(var(--spacing)*1),"class=""mt-1"""
mt-10,定位,margin-top:calc(var(--spacing)*10),"class=""mt-10"""
mt-14,定位,margin-top:calc(var(--spacing)*14),"class=""mt-14"""
mt-2,定位,margin-top:calc(var(--spacing)*2),"class=""mt-2"""
mt-20,定位,margin-top:calc(var(--spacing)*20),"class=""mt-20"""
mt-28,定位,margin-top:calc(var(--spacing)*28),"class=""mt-28"""
mt-3,定位,margin-top:calc(var(--spacing)*3),"class=""mt-3"""
mt-4,定位,margin-top:calc(var(--spacing)*4),"class=""mt-4"""
mt-5,定位,margin-top:calc(var(--spacing)*5),"class=""mt-5"""
mt-6,定位,margin-top:calc(var(--spacing)*6),"class=""mt-6"""
mt-7,定位,margin-top:calc(var(--spacing)*7),"class=""mt-7"""
mt-8,定位,margin-top:calc(var(--spacing)*8),"class=""mt-8"""
mt-auto,定位,margin-top:auto,"class=""mt-auto"""
object-center,定位,object-position:center,"class=""object-center"""
object-top,定位,object-position:top,"class=""object-top"""
origin-left,定位,transform-origin:0,"class=""origin-left"""
pb-0,定位,padding-bottom:calc(var(--spacing)*0),"class=""pb-0"""
pb-1,定位,padding-bottom:calc(var(--spacing)*1),"class=""pb-1"""
pb-10,定位,padding-bottom:calc(var(--spacing)*10),"class=""pb-10"""
pb-16,定位,padding-bottom:calc(var(--spacing)*16),"class=""pb-16"""
pb-2,定位,padding-bottom:calc(var(--spacing)*2),"class=""pb-2"""
pb-20,定位,padding-bottom:calc(var(--spacing)*20),"class=""pb-20"""
pb-3,定位,padding-bottom:calc(var(--spacing)*3),"class=""pb-3"""
