來源,變數名稱,值
10128161fe71f379.css, --tw-prose-pre-bg,oklch(27.8% .033 256.848)
10128161fe71f379.css, --tw-prose-th-borders,oklch(87.2% .01 258.338)
10128161fe71f379.css, --tw-prose-td-borders,oklch(92.8% .006 264.531)
10128161fe71f379.css, --tw-prose-invert-body,oklch(87.2% .01 258.338)
10128161fe71f379.css, --tw-prose-invert-headings,#fff
10128161fe71f379.css, --tw-prose-invert-lead,oklch(70.7% .022 261.325)
10128161fe71f379.css, --tw-prose-invert-links,#fff
10128161fe71f379.css, --tw-prose-invert-bold,#fff
10128161fe71f379.css, --tw-prose-invert-counters,oklch(70.7% .022 261.325)
10128161fe71f379.css, --tw-prose-invert-bullets,oklch(44.6% .03 256.802)
10128161fe71f379.css, --tw-prose-invert-hr,oklch(37.3% .034 259.733)
10128161fe71f379.css, --tw-prose-invert-quotes,oklch(96.7% .003 264.542)
10128161fe71f379.css, --tw-prose-invert-quote-borders,oklch(37.3% .034 259.733)
10128161fe71f379.css, --tw-prose-invert-captions,oklch(70.7% .022 261.325)
10128161fe71f379.css, --tw-prose-invert-kbd,#fff
10128161fe71f379.css, --tw-prose-invert-kbd-shadows,#ffffff1a
10128161fe71f379.css, --tw-prose-invert-code,#fff
10128161fe71f379.css, --tw-prose-invert-pre-code,oklch(87.2% .01 258.338)
10128161fe71f379.css, --tw-prose-invert-pre-bg,#00000080
10128161fe71f379.css, --tw-prose-invert-th-borders,oklch(44.6% .03 256.802)
10128161fe71f379.css, --tw-prose-invert-td-borders,oklch(37.3% .034 259.733)
10128161fe71f379.css, --scrollbar-thumb,#3e3e41
10128161fe71f379.css, --wedding-burgundy,#5c1930
10128161fe71f379.css, --wedding-rose,#b76e79
10128161fe71f379.css, --wedding-gold,#c9a962
10128161fe71f379.css, --wedding-cream,#faf7f2
10128161fe71f379.css, --wedding-blush,#f5e6e8
10128161fe71f379.css, --wedding-deep,#2d0f1a
7c81f1e1351f6790.css, --animate-duration,1s
7c81f1e1351f6790.css, --animate-delay,1s
7c81f1e1351f6790.css, --animate-repeat,1
a7903c3eaaa57eb7.css, --base-size-4,0.25rem
a7903c3eaaa57eb7.css, --base-size-8,0.5rem
a7903c3eaaa57eb7.css, --base-size-16,1rem
a7903c3eaaa57eb7.css, --base-size-24,1.5rem
a7903c3eaaa57eb7.css, --base-size-40,2.5rem
a7903c3eaaa57eb7.css, --base-text-weight-normal,400
a7903c3eaaa57eb7.css, --base-text-weight-medium,500
a7903c3eaaa57eb7.css, --base-text-weight-semibold,600
a7903c3eaaa57eb7.css, --fontStack-monospace,"ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,Liberation Mono,monospace"
dd5d352a082118c1.css, --swiper-theme-color,#007aff
dd5d352a082118c1.css, --swiper-preloader-color,#fff
e8fd536eb19fd9c0.css, --swiper-navigation-size,44px
